t,target_rpm,actual_rpm,cmd,cmd_kind,safety
3.5,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.55,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.6,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.65,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.7,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.75,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.8,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.85,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.9,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
3.95,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
4.0,35.80986219567645,210.0,0,current,wheel overspeed cid=2 rpm=210
4.05,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.1,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.15,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.2,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.25,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.3,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.35,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.4,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.45,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.5,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.55,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.6,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.65,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.7,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.75,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.8,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.85,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.9,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
4.95,0.0,210.0,0,current,wheel overspeed cid=2 rpm=210
